Compression rate: 7.074071

Codebook: 
Centroid 1	 Index: 1		Value: 32.89547413793103
Centroid 2	 Index: 2		Value: 23.443333333333335
Centroid 3	 Index: 3		Value: 21.496
Centroid 4	 Index: 4		Value: 19.794318181818184
Centroid 5	 Index: 5		Value: 18.33974358974359
Centroid 6	 Index: 6		Value: 13.914285714285713
Centroid 7	 Index: 7		Value: 13.520000000000001
Centroid 8	 Index: 8		Value: 15.53225806451613
Centroid 9	 Index: 9		Value: 16.846969696969694
Centroid 10	 Index: 10		Value: 12.742857142857144
Centroid 11	 Index: 11		Value: 12.405555555555557
Centroid 12	 Index: 12		Value: 12.200000000000001
Centroid 13	 Index: 13		Value: 11.823076923076922
Centroid 14	 Index: 14		Value: 14.529999999999998
Centroid 15	 Index: 15		Value: 13.088888888888889
Centroid 16	 Index: 16		Value: 12.9
Centroid 17	 Index: 17		Value: 11.279545454545454
Centroid 18	 Index: 18		Value: 10.585714285714285
Centroid 19	 Index: 19		Value: 8.551470588235293
Centroid 20	 Index: 20		Value: 9.626086956521737
Centroid 21	 Index: 21		Value: 7.345238095238095
Centroid 22	 Index: 22		Value: 6.195
Centroid 23	 Index: 23		Value: 4.894999999999999

Clusters: 
Point 1 	 Cluster index: 1		Value: 34.05
Point 2 	 Cluster index: 1		Value: 33.05
Point 3 	 Cluster index: 1		Value: 32.0
Point 4 	 Cluster index: 1		Value: 31.9
Point 5 	 Cluster index: 1		Value: 31.05
Point 6 	 Cluster index: 1		Value: 30.4
Point 7 	 Cluster index: 1		Value: 30.75
Point 8 	 Cluster index: 1		Value: 30.0
Point 9 	 Cluster index: 1		Value: 30.1
Point 10 	 Cluster index: 1		Value: 29.5
Point 11 	 Cluster index: 1		Value: 30.75
Point 12 	 Cluster index: 1		Value: 30.85
Point 13 	 Cluster index: 1		Value: 31.5
Point 14 	 Cluster index: 1		Value: 31.75
Point 15 	 Cluster index: 1		Value: 32.35
Point 16 	 Cluster index: 1		Value: 32.8
Point 17 	 Cluster index: 1		Value: 32.05
Point 18 	 Cluster index: 1		Value: 32.8
